뇌신협마	토돌	무협	남자	1215850.4507.87 .50
도사청수[E]	형상준	무협	남자	41564.308.18 .50
불사왕	론도	판타지	남자	567732.110.27 .20
베나레스의총사	Gavin	판타지	남자	978470.2105.177 .20
신과함께춤을	쿠키빵야	퓨전	남자	6716.1.3 .10
진실사이거짓	엘타닌	판타지	남자	722.0.0 .20
태극무존	흑야(黑夜)	무협	남자	50532.70.2 .20
유진21세	우명(牛鳴)	퓨전	남자	791835.748.32 .40
해결사	마이오스	판타지	남자	16909.20.34 .50
야왕전기(출간삭제)	서명(徐明)	무협	남자	42505.72.5 .30
알케미스트	시이람	현대판타지	남자	47630.97.1 .40
블레이드마스터	류승현	판타지	남자	252460.721.16 .40
천국의문	웃는너구리	판타지	남자	3430.3.9 .30
파천무극행	송무향	무협	남자	22764.97.9 .50
콜드크라운	카이드라	판타지	남자	1041381.5793.110 .20
장춘곡	상문천	무협	남자	741573.1167.77 .50
트라키아제국기	금와(金蛙)	판타지	같음	181495.0.0 .10
미래를아는자	몽계.	현대판타지 SF	남자	211656.729.11 .40
천하를훔치다	세종	무협	남자	117009.368.12 .50
하늘빛성연	명운(明雲)	판타지	남자	57857.5.364 .30
맨인게임	장정욱	판타지	남자	196.1.1 .20
석유전쟁	마른멸치	현대판타지	남자	306264.971.86 .40
삼국지-마나군단의습격(...	하영후	대체역사 무협	남자	539562.11539.68 .40
BloodyViruses	MorningS..	퓨전	남자	29288.170.0 .40
파티플레이	임경주s	판타지	남자	11420.30.17 .40
사부무적	고아	무협	남자	297040.1417.54 .50
체육공원소녀	김태신	로맨스	남자	98885.626.109 .40
다크치프	가이하	판타지	남자	70341.116.7 .40
진암행어사	류연	퓨전	남자	225858.661.32 .40
구천탑(九天塔)	능운생	무협 판타지	남자	215428.2982.25 .50
폰블레이크	프로즌	판타지	남자	315746.1231.13 .30
일검쟁천	사랑씨	무협	남자	316965.19.15 .50
바탈리온사가	만상조	판타지	남자	4103247.44783.2 .20
향산협로	수부타이.	무협	남자	439540.1888.32 .50
취공무쌍(출간비공개)	해리海鯉	무협	남자	404787.1790.13 .50
독존왕	고렘	퓨전	남자	302111.1109.8 .40
클라우스학원	카이첼	판타지	남자	25133.509.213 .30
파이프라인	비와이슬	현대판타지 일반소설	남자	89272.341.45 .50
레이니요르	설검화	게임	남자	839817.754.170 .20
화산청운전	곳간	무협	남자	464389.2280.80 .50
송우송정	송무향	무협	남자	360532.1945.76 .50
경화수월	DoubleT	로맨스	여자	10853.12.25 .30
용아십병	도검	무협	남자	373337.43.17 .50
창천마혼	초[류희윤]	무협	남자	248788.29.2 .30
아틀라스연대기	조진행	판타지	남자	58875.415.20 .50
바보의검	6661	판타지	여자	22497.15.57 .50
바보의검	6661	판타지	여자	22497.15.57 .50
지옥파천황	태사검	무협	남자	91689.44.25 .50
묵시록의기사	서하(瑞河)	현대판타지	남자	79135.1.1 .20
주먹의노래	박동신	현대판타지	남자	653663.3183.5 .40
전륜마도	도검	무협	남자	354597.73.17 .50
위진천하	시우리	무협	남자	196925.324.9 .30
꿈꾸는짐승의왕	무영자	판타지	남자	151547.325.24 .20
휘핑보이	까리타암초	퓨전	남자	28428.91.33 .30
미완성교향곡	홍라온	로맨스	남자	31544.213.32 .50
당신이믿는세계	nadree	라이트노벨 현대판타지	남자	260148.148.255 .30
아레나파일럿S	최강바보	SF 판타지	남자	414378.2543.356 .30
부적술사	[눈매]	퓨전	남자	59533.6.16 .20
더키퍼	운월暈越	현대판타지	남자	555962.1302.16 .40
피리부는소년	메트로눔	판타지	남자	7816.8.29 .30
NightWalkers	남조1	현대판타지	남자	2554.9.8 .30
월명의여제	천현비화	판타지	남자	409.0.4 .30
어크로스	양병현	판타지	남자	117375.12.6 .40
먼치킨대한국인	강무(姜武)	대체역사	남자	886837.2526.41 .40
삼국지가아냐	광천광야	일반소설	남자	17879.9.9 .30
마법사의전장	月影(월영)	판타지	남자	161487.3744.4 .30
마공포식자	천보행자	무협	남자	2275.7.3 .10
무한쟁패	키리샤	무협	남자	28207.123.0 .20
강호초출	연소옥	무협	남자	2400464.26517.100 .50
화랑inAcademy	토돌	판타지	남자	951470.5554.149 .20
9중대행보관(종료171207)	몽몽객	퓨전 판타지	남자	900051.3635.28 .40
폭력써클YSB	배반낭자	현대판타지	남자	60447.240.44 .50
라드니아전기	테시우스	판타지	남자	2300.3.7 .30
영원으로가는문	우울함	판타지	남자	1702428.12743.197 .20
학사무림	봉황송	무협	남자	257141.706.7 .50
학사무림	봉황송	무협	남자	257141.706.7 .50
비갓비갓	씨드	게임	남자	15546.82.73 .30
왕립블루스톤과학학교	익재공파	판타지 퓨전	남자	7100.15.20 .20
마공천사	열해도	무협	남자	20139.6.5 .50
DevilSonata	키뮤린	판타지	남자	4424.17.17 .20
칠야의연주자	현성(玹成)	게임	남자	176873.12.10 .20
붉은달	깜장양송이	판타지	남자	125259.10.69 .50
친구의이름으로	사적이다	현대판타지	남자	10505.62.14 .50
천마검제	여사혼	무협	남자	590877.2120.0 .10
진악	경절	판타지	남자	1320.2.0 .20
역전강호	문우영	무협	남자	2468.12.3 .50
스틸드래곤	풀잎열매	판타지	남자	417160.949.38 .20
마법사무림기행	김도리	무협	남자	24845.35.19 .50
바이오너	시크릿가이	현대판타지	남자	0.0.0 .40
광란파티연대기	의무병	게임	남자	34158.205.38 .40
Persona	질풍의날개	판타지 현대판타지	남자	10590.33.27 .20
지구부활	gulman	퓨전	남자	29172.180.68 .40
패왕을보았다	마혼	판타지	남자	36340.666.5 .30
더크루세이더	페리도스	판타지	남자	169185.456.8 .20
지존귀환	요도	무협	남자	896018.385.52 .50
키우리옐	하늘구슬	판타지	남자	15465.26.104 .30
무상마도천	우보(禹步)	무협	남자	299905.502.7 .50
신들의제자들	유화성	판타지	남자	3964.6.31 .30
위사무적	협행마	무협	남자	687299.2375.17 .50
심장튼튼한놈	몽계.	현대판타지	남자	326732.877.2 .30
주식회사초인	무의식	라이트노벨	남자	27966.11.40 .50
SP	CatReadi..	현대판타지	남자	379516.1481.63 .40
하지마!요네즈.	르웨느	판타지	남자	782709.5786.459 .20
다크엠페러	실버쉐도우	게임	남자	15999.602.11 .20
자명	김윤성	무협	남자	63528.145.5 .50
데몬스피어	검은검	판타지	남자	13953.21.27 .30
후생기	가글	판타지 무협	남자	5470988.50644.263 .30
바질리스크	여령	게임	남자	4399.11.1 .20
동방기행담	토황소격문	무협 대체역사	남자	78845.473.58 .50
화산풍운전	르네장	무협	남자	2310.6.0 .50
눈녹는봄이오면	Clari	판타지	남자	9794.77.63 .30
사육사	견가도묘	게임	남자	40836.168.31 .10
남극빙협	도깹	무협	남자	70246.179.31 .50
선Orcs![E]	취룡	판타지	남자	2562785.66136.24 .20
종말3부작	RALL	SF 일반소설	남자	21263.77.31 .30
강호풍운록	이산	무협	남자	57434.351.23 .50
삼국쟁패	여령	게임	남자	144123.46.8 .30
절대검해	한성수	무협	남자	233921.458.12 .50
구룡지로	연소옥	무협	남자	848330.7145.133 .50
귀검	박이	무협	남자	256756.1791.42 .50
탈출	윤지아	판타지 전쟁·밀리터리	남자	35737.212.36 .40
알칸귀환기	반백이발사	퓨전	남자	143883.421.5 .30
Fantasia2085	요삼	판타지 현대판타지	남자	1210219.7463.53 .40
신이내린무당	windligh..	게임	남자	60521.298.47 .20
영주의금기	협행마	판타지	남자	464422.1622.16 .40
세컨드라이프	작은풀잎	일반소설	남자	352207.2315.48 .50
마스커레이드	샤랑	판타지	남자	14953.3.35 .30
루.더.스	흑영군	판타지	남자	33531.71.70 .30
버킨[E]	라이먼	게임	남자	909.21.15 .40
문나이트	여령	게임	남자	132725.46.7 .40
미친자들	슬픔의숲속	현대판타지	남자	23076.14.13 .30
헬오브엠페러	김중완	퓨전	남자	7030.14.8 .10
선홍원	신가	무협	남자	4081619.86631.261 .30
발키리아	슬라빅	현대판타지	남자	524381.660.149 .20
신의타이밍	사람123	일반소설	남자	26994.154.52 .40
선범도	mingji	무협 판타지	남자	1063303.11873.0 .40
신의타이밍	사람123	일반소설	남자	26994.154.52 .40
좌충우돌개과천선기	마라도	무협	남자	76321.264.24 .50
라이언전기	무명선생	판타지 전쟁·밀리터리	같음	1164.0.0 .10
네오크루세이더	갈색미소	일반소설	남자	2068.1.3 .30
아카이얀의전사	홍형(洪瑩)	판타지	남자	163306.49.34 .30
소림마도	정현™	무협	남자	175731.420.15 .50
검마왕	송치현	판타지	남자	337898.105.15 .40
마도사의탑	고렘	판타지	남자	198416.101.11 .40
